Waktu,Inference Time,Jarak YOLO,Jarak MediaPipe,Arah
2024-10-31 23:12:48,0.0,1.5822368421052633,0.7572584538574212,Stop
2024-10-31 23:12:49,0.0,1.6002851711026616,0.7480451137031863,Stop
2024-10-31 23:12:49,0.0,1.6063931297709921,0.7526963265325763,Stop
2024-10-31 23:12:50,0.0,1.6002851711026616,0.7805222829418988,Stop
2024-10-31 23:12:51,0.0,1.6033333333333335,0.7831487899070821,Stop
2024-10-31 23:12:52,0.0,1.6033333333333335,0.7666747136289088,Stop
2024-10-31 23:12:52,0.0009944438934326172,1.594223484848485,0.7418718726641804,Stop
2024-10-31 23:12:53,0.0,1.5559149722735675,0.7364752420930607,Stop
2024-10-31 23:12:54,0.0,1.5501841620626151,0.7405732762193453,Stop
2024-10-31 23:12:54,0.0009987354278564453,1.579268292682927,0.750552574592454,Stop
2024-10-31 23:12:55,0.0009975433349609375,1.6156429942418427,0.758998718342294,Stop
2024-10-31 23:12:56,0.0009961128234863281,1.625,0.7663286642465374,Stop
2024-10-31 23:12:56,0.0,1.6537328094302555,0.7642727533096318,Stop
2024-10-31 23:12:57,0.0009980201721191406,1.6701388888888888,0.7957283638537014,Stop
2024-10-31 23:12:58,0.0,1.6376459143968873,0.7917024142743778,Stop
2024-10-31 23:12:58,0.000997304916381836,1.6156429942418427,0.7972423539391829,Stop
2024-10-31 23:12:59,0.0,1.5912098298676747,0.7499651662477212,Stop
2024-10-31 23:13:00,0.0,1.5912098298676747,0.7539204041110547,Stop
2024-10-31 23:13:00,0.0009961128234863281,1.5912098298676747,0.7601667271699437,Stop
2024-10-31 23:13:01,0.0,1.625,0.7363350021419734,Stop
2024-10-31 23:13:02,0.0009975433349609375,1.5444954128440367,0.6896037343724416,Stop
2024-10-31 23:13:03,0.0009953975677490234,1.4266949152542372,0.5675852399756129,Stop
